Find ID,Barcode ID,type,value,Protocol
6757/6,Reindeer,Ambic_P1105,0.72,Ambic_P1105
6757/6,Reindeer,Acid_P1105,0.81,Acid_P1105
6757/7,Reindeer,Ambic_P1105,0.82,Ambic_P1105
6757/7,Reindeer,Acid_P1105,0.9,Acid_P1105
6757/8,Reindeer,Ambic_P1105,NA,Ambic_P1105
6757/8,Reindeer,Acid_P1105,0.81,Acid_P1105
6757/9,Reindeer,Ambic_P1105,0.8,Ambic_P1105
6757/9,Reindeer,Acid_P1105,0.93,Acid_P1105
6385/3,Reindeer,Ambic_P1105,0.77,Ambic_P1105
6385/3,Reindeer,Acid_P1105,0.91,Acid_P1105
6808/1,Reindeer,Ambic_P1105,0.73,Ambic_P1105
6808/1,Reindeer,Acid_P1105,0.78,Acid_P1105
6808/3,Reindeer,Ambic_P1105,NA,Ambic_P1105
6808/3,Reindeer,Acid_P1105,0.83,Acid_P1105
2233/2,Reindeer,Ambic_P1105,0.82,Ambic_P1105
2233/2,Reindeer,Acid_P1105,0.88,Acid_P1105
2233/3,Reindeer,Ambic_P1105,0.81,Ambic_P1105
2233/3,Reindeer,Acid_P1105,0.83,Acid_P1105
2233/4,Reindeer,Ambic_P1105,0.81,Ambic_P1105
2233/4,Reindeer,Acid_P1105,0.86,Acid_P1105
2233/5,Reindeer,Ambic_P1105,0.83,Ambic_P1105
2233/5,Reindeer,Acid_P1105,0.93,Acid_P1105
2250,Reindeer,Ambic_P1105,0.77,Ambic_P1105
2250,Reindeer,Acid_P1105,0.84,Acid_P1105
1148,Reindeer,Ambic_P1105,NA,Ambic_P1105
1148,Reindeer,Acid_P1105,NA,Acid_P1105
6201,Reindeer,Ambic_P1105,0.79,Ambic_P1105
6201,Reindeer,Acid_P1105,0.88,Acid_P1105
485/1,Reindeer,Ambic_P1105,NA,Ambic_P1105
485/1,Reindeer,Acid_P1105,NA,Acid_P1105
485/2,Reindeer,Ambic_P1105,NA,Ambic_P1105
485/2,Reindeer,Acid_P1105,0.83,Acid_P1105
5168/1,Equidae,Ambic_P1105,0.79,Ambic_P1105
5168/1,Equidae,Acid_P1105,0.89,Acid_P1105
5168/2,Elephantidae,Ambic_P1105,0.83,Ambic_P1105
5168/2,Elephantidae,Acid_P1105,0.92,Acid_P1105
6496/2,Bos/Bison,Ambic_P1105,0.82,Ambic_P1105
6496/2,Bos/Bison,Acid_P1105,0.88,Acid_P1105
6377,Bos/Bison,Ambic_P1105,0.83,Ambic_P1105
6377,Bos/Bison,Acid_P1105,NA,Acid_P1105
1131,Equidae,Ambic_P1105,NA,Ambic_P1105
1131,Equidae,Acid_P1105,0.77,Acid_P1105
6786/1,Reindeer,Ambic_P1105,0.78,Ambic_P1105
6786/1,Reindeer,Acid_P1105,0.87,Acid_P1105
1095,Reindeer,Ambic_P1105,0.75,Ambic_P1105
1095,Reindeer,Acid_P1105,0.86,Acid_P1105
1183,Elephantidae,Ambic_P1105,0.72,Ambic_P1105
1183,Elephantidae,Acid_P1105,0.79,Acid_P1105
1128/2,Reindeer,Ambic_P1105,0.79,Ambic_P1105
1128/2,Reindeer,Acid_P1105,0.87,Acid_P1105
1229,Reindeer,Ambic_P1105,0.8,Ambic_P1105
1229,Reindeer,Acid_P1105,0.89,Acid_P1105
6417/3,Reindeer,Ambic_P1105,NA,Ambic_P1105
6417/3,Reindeer,Acid_P1105,0.72,Acid_P1105
6417/4,Reindeer,Ambic_P1105,0.67,Ambic_P1105
6417/4,Reindeer,Acid_P1105,NA,Acid_P1105
2090,Reindeer,Ambic_P1105,0.76,Ambic_P1105
2090,Reindeer,Acid_P1105,0.81,Acid_P1105
6756/2,Equidae,Ambic_P1105,NA,Ambic_P1105
6756/2,Equidae,Acid_P1105,0.83,Acid_P1105
5079/2,Reindeer,Ambic_P1105,0.8,Ambic_P1105
5079/2,Reindeer,Acid_P1105,0.92,Acid_P1105
5026/2,Reindeer,Ambic_P1105,0.74,Ambic_P1105
5026/2,Reindeer,Acid_P1105,0.86,Acid_P1105
6620,Elephantidae,Ambic_P1105,0.84,Ambic_P1105
6620,Elephantidae,Acid_P1105,0.94,Acid_P1105
6551/2,Reindeer,Ambic_P1105,0.7,Ambic_P1105
6551/2,Reindeer,Acid_P1105,NA,Acid_P1105
1710/7,Reindeer,Ambic_P1105,0.69,Ambic_P1105
1710/7,Reindeer,Acid_P1105,0.91,Acid_P1105
1711/1,Elephantidae,Ambic_P1105,0.78,Ambic_P1105
1711/1,Elephantidae,Acid_P1105,0.92,Acid_P1105
1711/2,Reindeer,Ambic_P1105,0.81,Ambic_P1105
1711/2,Reindeer,Acid_P1105,0.89,Acid_P1105
1711/3,Equidae,Ambic_P1105,0.8,Ambic_P1105
1711/3,Equidae,Acid_P1105,NA,Acid_P1105
1711/4,Reindeer,Ambic_P1105,0.69,Ambic_P1105
1711/4,Reindeer,Acid_P1105,0.8,Acid_P1105
1711/5,Reindeer,Ambic_P1105,0.79,Ambic_P1105
1711/5,Reindeer,Acid_P1105,0.82,Acid_P1105
1711/6,Reindeer,Ambic_P1105,0.81,Ambic_P1105
1711/6,Reindeer,Acid_P1105,NA,Acid_P1105
1711/7,Reindeer,Ambic_P1105,0.72,Ambic_P1105
1711/7,Reindeer,Acid_P1105,0.94,Acid_P1105
1711/8,Bos/Bison,Ambic_P1105,0.78,Ambic_P1105
1711/8,Bos/Bison,Acid_P1105,0.84,Acid_P1105
1711/9,Reindeer,Ambic_P1105,0.81,Ambic_P1105
1711/9,Reindeer,Acid_P1105,0.93,Acid_P1105
1711/10,Reindeer,Ambic_P1105,NA,Ambic_P1105
1711/10,Reindeer,Acid_P1105,0.77,Acid_P1105
1711/11,Reindeer,Ambic_P1105,0.8,Ambic_P1105
1711/11,Reindeer,Acid_P1105,0.86,Acid_P1105
1711/12,Reindeer,Ambic_P1105,0.83,Ambic_P1105
1711/12,Reindeer,Acid_P1105,0.89,Acid_P1105
1711/14,Reindeer,Ambic_P1105,0.76,Ambic_P1105
1711/14,Reindeer,Acid_P1105,0.88,Acid_P1105
1711/15,Reindeer,Ambic_P1105,0.82,Ambic_P1105
1711/15,Reindeer,Acid_P1105,0.91,Acid_P1105
1711/16,Reindeer,Ambic_P1105,NA,Ambic_P1105
1711/16,Reindeer,Acid_P1105,NA,Acid_P1105
1711/17,Reindeer,Ambic_P1105,0.76,Ambic_P1105
1711/17,Reindeer,Acid_P1105,0.89,Acid_P1105
1711/18,Equidae,Ambic_P1105,0.81,Ambic_P1105
1711/18,Equidae,Acid_P1105,0.89,Acid_P1105
1711/20,Reindeer,Ambic_P1105,0.72,Ambic_P1105
1711/20,Reindeer,Acid_P1105,0.88,Acid_P1105
1711/21,Reindeer,Ambic_P1105,0.79,Ambic_P1105
1711/21,Reindeer,Acid_P1105,0.92,Acid_P1105
1711/22,Equidae,Ambic_P1105,0.74,Ambic_P1105
1711/22,Equidae,Acid_P1105,0.88,Acid_P1105
6211/2,Reindeer,Ambic_P1105,NA,Ambic_P1105
6211/2,Reindeer,Acid_P1105,NA,Acid_P1105
2079,Reindeer,Ambic_P1105,0.77,Ambic_P1105
2079,Reindeer,Acid_P1105,0.9,Acid_P1105
1100,Reindeer,Ambic_P1105,NA,Ambic_P1105
1100,Reindeer,Acid_P1105,NA,Acid_P1105
1739/2,Reindeer,Ambic_P1105,0.77,Ambic_P1105
1739/2,Reindeer,Acid_P1105,0.82,Acid_P1105
6681,Elephantidae,Ambic_P1105,0.74,Ambic_P1105
6681,Elephantidae,Acid_P1105,0.81,Acid_P1105
1719/1,Equidae,Ambic_P1105,0.74,Ambic_P1105
1719/1,Equidae,Acid_P1105,0.87,Acid_P1105
1719/2,Elephantidae,Ambic_P1105,0.77,Ambic_P1105
1719/2,Elephantidae,Acid_P1105,0.91,Acid_P1105
1742/1,Reindeer,Ambic_P1105,NA,Ambic_P1105
1742/1,Reindeer,Acid_P1105,0.84,Acid_P1105
1742/2,Reindeer,Ambic_P1105,0.79,Ambic_P1105
1742/2,Reindeer,Acid_P1105,0.91,Acid_P1105
1742/3,Reindeer,Ambic_P1105,0.83,Ambic_P1105
1742/3,Reindeer,Acid_P1105,0.86,Acid_P1105
1742/4,Reindeer,Ambic_P1105,0.79,Ambic_P1105
1742/4,Reindeer,Acid_P1105,NA,Acid_P1105
6778/3,Reindeer,Ambic_P1105,0.82,Ambic_P1105
6778/3,Reindeer,Acid_P1105,0.87,Acid_P1105
6778/4,Reindeer,Ambic_P1105,0.79,Ambic_P1105
6778/4,Reindeer,Acid_P1105,0.89,Acid_P1105
6778/5,Bos/Bison,Ambic_P1105,NA,Ambic_P1105
6778/5,Bos/Bison,Acid_P1105,NA,Acid_P1105
6778/6,Reindeer,Ambic_P1105,0.79,Ambic_P1105
6778/6,Reindeer,Acid_P1105,0.9,Acid_P1105
6778/8,Reindeer,Ambic_P1105,0.84,Ambic_P1105
6778/8,Reindeer,Acid_P1105,NA,Acid_P1105
6778/9,Reindeer,Ambic_P1105,0.77,Ambic_P1105
6778/9,Reindeer,Acid_P1105,0.91,Acid_P1105
6751/2,Equidae,Ambic_P1105,0.78,Ambic_P1105
6751/2,Equidae,Acid_P1105,0.89,Acid_P1105
6751/3,Reindeer,Ambic_P1105,0.76,Ambic_P1105
